iter	Passed	Remaining
540	4415	5378
541	4423	5370
542	4432	5363
543	4440	5355
544	4449	5347
545	4457	5339
546	4465	5330
547	4473	5322
548	4481	5314
549	4490	5307
550	4499	5299
551	4506	5290
552	4515	5283
553	4524	5275
554	4533	5268
555	4542	5261
556	4550	5253
557	4559	5245
558	4567	5237
559	4575	5229
560	4583	5220
561	4592	5213
562	4599	5203
563	4608	5196
564	4616	5187
565	4625	5180
566	4632	5171
567	4640	5163
568	4648	5155
569	4657	5147
570	4665	5139
571	4673	5131
572	4680	5122
573	4689	5114
574	4697	5106
575	4706	5098
576	4713	5088
577	4722	5081
578	4730	5073
579	4739	5066
580	4747	5058
581	4756	5050
582	4762	5040
583	4772	5033
584	4780	5025
585	4788	5017
586	4795	5008
587	4803	4999
588	4810	4990
589	4819	4983
590	4828	4975
591	4836	4967
592	4845	4959
593	4854	4952
594	4862	4944
595	4871	4937
596	4879	4928
597	4887	4920
598	4895	4911
599	4903	4903
600	4910	4894
601	4920	4887
602	4928	4879
603	4936	4870
604	4942	4861
605	4951	4853
606	4959	4844
607	4967	4836
608	4975	4828
609	4984	4821
610	4993	4813
611	5001	4805
612	5009	4796
613	5018	4789
614	5026	4780
615	5035	4773
616	5041	4763
617	5049	4755
618	5057	4746
619	5066	4740
620	5075	4732
621	5084	4724
622	5092	4716
623	5100	4708
624	5108	4700
625	5117	4692
626	5125	4684
627	5133	4676
628	5142	4668
629	5149	4659
630	5157	4651
631	5166	4643
632	5175	4635
633	5183	4627
634	5192	4619
635	5199	4610
636	5208	4603
637	5214	4593
638	5222	4585
639	5229	4575
640	5236	4566
641	5244	4557
642	5252	4549
643	5259	4540
644	5266	4531
645	5274	4523
646	5281	4514
647	5289	4506
648	5296	4496
649	5304	4488
650	5313	4480
651	5321	4472
652	5329	4464
653	5338	4456
654	5344	4447
655	5353	4439
656	5360	4430
657	5369	4422
658	5377	4414
659	5385	4406
660	5392	4397
661	5399	4388
662	5407	4379
663	5415	4371
664	5422	4362
665	5429	4353
666	5437	4345
667	5444	4335
668	5452	4327
669	5459	4318
670	5466	4309
671	5474	4301
672	5482	4293
673	5489	4284
674	5497	4275
675	5504	4266
676	5510	4257
677	5518	4248
678	5525	4239
679	5533	4231
680	5540	4222
681	5548	4214
682	5555	4205
683	5564	4197
684	5572	4189
685	5579	4180
686	5586	4171
687	5593	4162
688	5602	4155
689	5609	4146
690	5617	4138
691	5626	4130
692	5633	4121
693	5640	4112
694	5650	4105
695	5657	4096
696	5665	4088
697	5673	4080
698	5681	4072
699	5689	4063
700	5697	4055
701	5705	4047
702	5713	4038
703	5721	4030
704	5730	4023
705	5738	4015
706	5745	4006
707	5753	3998
708	5761	3989
709	5769	3981
710	5776	3972
711	5784	3964
712	5793	3957
713	5800	3948
714	5808	3940
715	5817	3932
716	5825	3924
717	5833	3916
718	5842	3908
719	5851	3900
720	5861	3893
721	5868	3885
722	5877	3877
723	5884	3869
724	5893	3861
725	5901	3852
726	5909	3844
727	5916	3836
728	5924	3828
729	5933	3819
730	5942	3812
731	5950	3804
732	5958	3796
733	5966	3787
734	5975	3780
735	5982	3771
736	5991	3763
737	5998	3755
738	6006	3747
739	6014	3738
740	6022	3730
741	6029	3721
742	6038	3714
743	6046	3705
744	6055	3698
745	6063	3690
746	6072	3682
747	6079	3673
748	6086	3665
749	6094	3656
750	6101	3648
751	6110	3640
752	6118	3632
753	6126	3624
754	6134	3615
755	6143	3607
756	6151	3599
757	6158	3590
758	6165	3582
759	6173	3574
760	6180	3565
761	6188	3556
762	6195	3548
763	6203	3540
764	6212	3532
765	6220	3524
766	6228	3516
767	6235	3507
768	6243	3499
769	6252	3491
770	6261	3483
771	6269	3475
772	6276	3467
773	6284	3458
774	6291	3450
775	6299	3442
776	6307	3433
777	6314	3425
778	6322	3416
779	6330	3408
780	6338	3400
781	6346	3392
782	6354	3384
783	6362	3375
784	6370	3367
785	6378	3359
786	6385	3351
787	6392	3342
788	6400	3333
789	6408	3325
790	6414	3316
791	6422	3308
792	6429	3299
793	6437	3291
794	6444	3283
795	6452	3274
796	6460	3266
797	6469	3259
798	6476	3250
799	6484	3242
800	6492	3234
801	6500	3225
802	6508	3217
803	6515	3208
804	6522	3200
805	6529	3192
806	6538	3184
807	6545	3175
808	6552	3166
809	6561	3159
810	6569	3151
811	6577	3142
812	6584	3134
813	6592	3125
814	6598	3117
815	6606	3108
816	6614	3100
817	6621	3092
818	6628	3083
819	6635	3075
820	6643	3066
821	6650	3058
822	6659	3050
823	6666	3042
824	6673	3033
825	6681	3025
826	6689	3017
827	6697	3008
828	6704	3000
829	6713	2992
830	6725	2986
831	6734	2978
832	6741	2970
833	6749	2962
834	6757	2953
835	6765	2945
836	6773	2937
837	6781	2929
838	6788	2920
839	6796	2912
840	6803	2904
841	6811	2895
842	6817	2887
843	6825	2879
844	6833	2870
845	6840	2862
846	6848	2854
847	6855	2845
848	6863	2837
849	6870	2828
850	6877	2820
851	6885	2812
852	6893	2804
853	6900	2795
854	6907	2787
855	6915	2779
856	6923	2770
857	6930	2762
858	6937	2754
859	6945	2745
860	6952	2737
861	6959	2729
862	6967	2720
863	6976	2713
864	6984	2705
865	6991	2696
866	6998	2688
867	7006	2679
868	7014	2671
869	7022	2663
870	7030	2655
871	7038	2647
872	7045	2639
873	7052	2630
874	7060	2622
875	7068	2614
876	7075	2605
877	7083	2597
878	7092	2589
879	7099	2581
880	7106	2573
881	7114	2565
882	7123	2557
883	7131	2549
884	7140	2541
885	7147	2533
886	7155	2525
887	7162	2516
888	7170	2508
889	7178	2500
890	7185	2492
891	7194	2484
892	7202	2476
893	7209	2467
894	7217	2459
895	7226	2451
896	7233	2443
897	7241	2435
898	7250	2427
899	7258	2419
900	7268	2412
901	7277	2404
902	7287	2396
903	7296	2389
904	7305	2381
905	7312	2373
906	7321	2365
907	7330	2357
908	7338	2349
909	7347	2341
910	7355	2333
911	7364	2325
912	7372	2317
913	7382	2310
914	7389	2301
915	7398	2293
916	7405	2285
917	7414	2277
918	7421	2269
919	7429	2261
920	7436	2252
921	7444	2244
922	7451	2236
923	7459	2228
924	7466	2219
925	7473	2211
926	7480	2203
927	7487	2194
928	7495	2186
929	7504	2178
930	7513	2170
931	7521	2162
932	7528	2154
933	7536	2146
934	7544	2138
935	7552	2130
936	7560	2122
937	7568	2114
938	7577	2106
939	7586	2098
940	7595	2090
941	7602	2082
942	7612	2074
943	7622	2066
944	7630	2058
945	7638	2050
946	7646	2042
947	7654	2034
948	7661	2026
949	7669	2018
950	7676	2009
951	7683	2001
952	7692	1993
953	7699	1985
954	7709	1977
955	7719	1970
956	7727	1962
957	7736	1954
958	7744	1946
959	7752	1938
960	7759	1929
961	7767	1921
962	7775	1913
963	7784	1905
964	7792	1897
965	7800	1889
966	7809	1881
967	7817	1873
968	7824	1865
969	7833	1857
970	7840	1849
971	7849	1841
972	7857	1833
973	7865	1825
974	7872	1816
975	7881	1808
976	7888	1800
977	7897	1792
978	7905	1784
979	7912	1776
980	7921	1768
981	7929	1760
982	7937	1752
983	7945	1744
984	7954	1736
985	7965	1728
986	7974	1721
987	7985	1713
